GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjectManagerApplication,com.projectmanagerapp.controller,ParentTaskController,0,23,0,0,0,5,0,3,0,3
ProjectManagerApplication,com.projectmanagerapp.controller,TaskController,15,61,1,3,3,15,2,7,1,6
ProjectManagerApplication,com.projectmanagerapp.controller,ProjectController,10,63,0,2,2,15,1,8,1,7
ProjectManagerApplication,com.projectmanagerapp.controller,UserController,0,52,0,0,0,12,0,7,0,7
ProjectManagerApplication,com.projectmanagerapp.test,ParentTaskControllerTest,0,291,0,0,0,46,0,4,0,4
ProjectManagerApplication,com.projectmanagerapp.test,ParentTaskServiceTest,0,274,0,0,0,42,0,4,0,4
ProjectManagerApplication,com.projectmanagerapp.test,ProjectRepoTest,38,401,19,19,0,57,19,5,0,5
ProjectManagerApplication,com.projectmanagerapp.test,TaskServiceTest,12,357,0,0,4,59,0,8,0,8
ProjectManagerApplication,com.projectmanagerapp.test,ProjectServiceTest,32,434,13,13,2,69,13,9,0,9
ProjectManagerApplication,com.projectmanagerapp.test,ProjectControllerTest,0,585,0,0,0,108,0,9,0,9
ProjectManagerApplication,com.projectmanagerapp.test,TaskControllerTest,0,408,0,0,0,74,0,8,0,8
ProjectManagerApplication,com.projectmanagerapp.test,UserServiceTest,12,205,0,0,4,45,0,9,0,9
ProjectManagerApplication,com.projectmanagerapp.test,UserControllerTest,0,267,0,0,0,57,0,8,0,8
ProjectManagerApplication,com.projectmanagerapp.test,UserRepoTest,14,188,7,7,0,36,7,7,0,7
ProjectManagerApplication,com.projectmanagerapp.serviceimpl,ProjectServiceImpl,14,106,3,7,4,25,4,10,1,8
ProjectManagerApplication,com.projectmanagerapp.serviceimpl,TaskServiceImpl,64,56,6,4,10,16,6,7,3,5
ProjectManagerApplication,com.projectmanagerapp.serviceimpl,ParentTaskServiceImpl,0,14,0,0,0,4,0,3,0,3
ProjectManagerApplication,com.projectmanagerapp.serviceimpl,UserServiceImpl,4,71,1,5,1,19,1,8,0,6
ProjectManagerApplication,com.projectmanagerapp.util,TaskNotFoundException,0,3,0,0,0,1,0,1,0,1
ProjectManagerApplication,com.projectmanagerapp.util,ProjectNotFoundException,0,3,0,0,0,1,0,1,0,1
ProjectManagerApplication,com.projectmanagerapp.util,UserNotFoundException,0,3,0,0,0,1,0,1,0,1
ProjectManagerApplication,com.projectmanagerapp.util,LocalDateDeserializer,0,15,0,0,0,5,0,2,0,2
ProjectManagerApplication,com.projectmanagerapp.entity,Task,91,91,2,0,11,39,3,22,2,22
ProjectManagerApplication,com.projectmanagerapp.entity,Users,14,50,0,0,6,22,4,12,4,12
ProjectManagerApplication,com.projectmanagerapp.entity,ParentTask,26,37,0,0,3,17,2,10,2,10
ProjectManagerApplication,com.projectmanagerapp.entity,Project,25,91,0,0,10,39,3,22,3,22
ProjectManagerApplication,com.projectmanagerapp,ProjectManagerAppBootApplication,5,3,0,0,2,1,1,1,1,1
